Cluster ID	Serotype	vOTU in the cluster with the serotype	vOTU in the cluster	percentage of vOTU in the cluster with the serotype	Confidence level
cl60_681	K48	2	2	1.0	Highly confident
cl60_685	K12	1	1	1.0	Highly confident
cl60_693	K170	1	1	1.0	Highly confident
cl60_694	O4	2	2	1.0	Highly confident
cl60_700	K25	13	26	0.5	Confident
cl60_705	K169	11	14	0.785714	Confident
cl60_707	K9	1	1	1.0	Highly confident
cl60_710	K55	2	2	1.0	Highly confident
cl60_720	O2afg	1	1	1.0	Highly confident
cl60_726	O5	12	15	0.8	Confident
cl60_728	K135	3	6	0.5	Uncertain
cl60_731	K117;K3	3;3	7	0.428571;0.428571	Uncertain;Uncertain
cl60_735	O103;O4	2;2	4	0.5;0.5	Uncertain;Uncertain
cl60_737	O3b	1	1	1.0	Highly confident
cl60_749	K105	29	41	0.707317	Confident
cl60_753	O104;O2afg;O3b;O5	1;1;1;1	4	0.25;0.25;0.25;0.25	Uncertain;Uncertain;Uncertain;Uncertain
cl60_757	K124	1	1	1.0	Highly confident
cl60_758	K47	1	1	1.0	Highly confident
cl60_764	K45	5	7	0.714286	Confident
cl60_773	O3/O3a;O5	3;3	6	0.5;0.5	Uncertain;Uncertain
cl60_785	K148	2	2	1.0	Highly confident
cl60_786	K18	17	43	0.395349	Confident
cl60_790	O104	1	1	1.0	Highly confident
cl60_791	K140	6	6	1.0	Highly confident
cl60_793	O5	4	6	0.666667	Confident
cl60_802	K109	1	1	1.0	Highly confident
cl60_803	K64	1	1	1.0	Highly confident
cl60_804	K119	8	9	0.888889	Confident
cl60_812	K146	1	1	1.0	Highly confident
cl60_814	O4	1	1	1.0	Highly confident
cl60_818	O104;O3b	1;1	2	0.5;0.5	Uncertain;Uncertain
cl60_833	K62	99	133	0.744361	Confident
cl60_839	O5	1	1	1.0	Highly confident
cl60_840	K64	1	1	1.0	Highly confident
cl60_845	K64	1	1	1.0	Highly confident
cl60_846	K64	1	1	1.0	Highly confident
cl60_853	O3/O3a;O5	4;4	9	0.444444;0.444444	Confident;Confident
cl60_854	K117	1	1	1.0	Highly confident
cl60_855	K177	1	1	1.0	Highly confident
cl60_862	O3/O3a	9	14	0.642857	Confident
cl60_864	K66	8	10	0.8	Confident
cl60_866	O3/O3a	1	1	1.0	Highly confident
cl60_869	K159	3	4	0.75	Uncertain
cl60_872	K186	1	1	1.0	Highly confident
cl60_875	K21	13	16	0.8125	Confident
cl60_882	K3	79	147	0.537415	Confident
cl60_887	K57	5	5	1.0	Highly confident
cl60_899	O103	1	1	1.0	Highly confident
cl60_901	O102	1	1	1.0	Highly confident
cl60_914	O2a	2	2	1.0	Highly confident
cl60_918	K127	5	11	0.454545	Confident
cl60_930	K110	7	11	0.636364	Confident
cl60_933	K2	4	4	1.0	Highly confident
cl60_946	K107;K141;K43	1;1;1	3	0.333333;0.333333;0.333333	Uncertain;Uncertain;Uncertain
cl60_962	O3/O3a	5	7	0.714286	Confident
cl60_975	K162;K72	4;4	12	0.333333;0.333333	Confident;Confident
cl60_990	K111	1	1	1.0	Highly confident
cl60_1000	O4	1	1	1.0	Highly confident
cl60_1004	K64	1	1	1.0	Highly confident
cl60_1017	K72	3	3	1.0	Highly confident
cl60_1019	K153	1	1	1.0	Highly confident
cl60_1022	K61	1	1	1.0	Highly confident
cl60_1023	K81	1	1	1.0	Highly confident
cl60_1027	O2a	2	2	1.0	Highly confident
cl60_1029	K177	1	1	1.0	Highly confident
cl60_1034	K110	1	1	1.0	Highly confident
cl60_1050	K2	2	4	0.5	Uncertain
cl60_1051	K168;K186	1;1	2	0.5;0.5	Uncertain;Uncertain
cl60_1054	K177	1	1	1.0	Highly confident
cl60_1059	K169	2	2	1.0	Highly confident
cl60_1064	K105	1	1	1.0	Highly confident
cl60_1065	K3	1	1	1.0	Highly confident
cl60_1068	O2a	1	1	1.0	Highly confident
cl60_1073	K25	15	25	0.6	Confident
cl60_1075	K177	1	1	1.0	Highly confident
cl60_1080	K25	54	105	0.514286	Confident
cl60_1081	K45	1	1	1.0	Highly confident
cl60_1083	K64	1	1	1.0	Highly confident
cl60_1086	O2afg	1	1	1.0	Highly confident
cl60_1089	O1	1	1	1.0	Highly confident
cl60_1091	K109	1	1	1.0	Highly confident
cl60_1093	K42	2	3	0.666667	Uncertain
cl60_1095	K110	1	1	1.0	Highly confident
cl60_1096	K15	8	9	0.888889	Confident
cl60_1102	K64	1	1	1.0	Highly confident
